FIPSCode,StateSearched,"County, State",Total TAT-ReportLevel(Days)
21059,ky,"daviess, ky","3,792.61"
29061,mo,"daviess, mo",37.16
19051,ia,"davis, ia",245.872
49011,nv,"davis, nv",13.605
49011,ut,"davis, ut","15,528.46"
46035,sd,"davison, sd",98.07
31045,ne,"dawes, ne",430.275
13085,ga,"dawson, ga","1,288.15"
30021,mt,"dawson, mt",273.297
31047,ne,"dawson, ne","1,066.10"
48115,tx,"dawson, tx",613.759
46037,sd,"day, sd",16.874
35011,nm,"de baca, nm",22.488
1049,al,"de kalb, al",454.789
18033,in,"de kalb, in","8,954.43"
22031,la,"de soto, la",885.27
48123,tx,"de witt, tx","1,093.31"
48117,tx,"deaf smith, tx","1,542.88"
18029,in,"dearborn, in","3,536.02"
13087,ga,"decatur, ga","1,003.36"
19053,ia,"decatur, ia",308.284
18031,in,"decatur, in","1,344.22"
20039,ks,"decatur, ks",37.025
47039,tn,"decatur, tn",566.349
30023,mt,"deer lodge, mt",201.048
39039,oh,"defiance, oh","4,007.02"
13089,ga,"dekalb, ga","80,516.91"
17037,il,"dekalb, il","6,600.59"
29063,mo,"dekalb, mo",118.247
47041,tn,"dekalb, tn","1,748.92"
6015,ca,"del norte, ca","1,254.10"
19055,ia,"delaware, ia",727.587
18035,in,"delaware, in","4,630.22"
36025,ny,"delaware, ny",467.63
39041,oh,"delaware, oh","12,511.92"
40041,ok,"delaware, ok","1,278.43"
42045,pa,"delaware, pa","30,426.02"
8029,co,"delta, co",16.966
26041,mi,"delta, mi",965.841
48119,tx,"delta, tx",279.384
2068,ak,"denali, ak",319.188
29065,mo,"dent, mo",67.778
48121,tx,"denton, tx","68,038.46"
48121,va,"denton, va",3.696
8031,co,"denver, co","12,994.41"
19057,ia,"des moines, ia","1,151.83"
41017,or,"deschutes, or","1,302.54"
5041,ar,"desha, ar",155.045
12027,fl,"desoto, fl",367.975
28033,ms,"desoto, ms","10,641.36"
31049,ne,"deuel, ne",30.748
46039,sd,"deuel, sd",94.703
40043,ok,"dewey, ok",308.045
46041,sd,"dewey, sd",10.314
17039,il,"dewitt, il",584.453
48125,tx,"dickens, tx",33.678
51051,va,"dickenson, va",573.352
38021,nd,"dickey, nd",163.489
19059,ia,"dickinson, ia",520.186
20041,ks,"dickinson, ks",603.31
26043,mi,"dickinson, mi",991.062
47043,tn,"dickson, tn","8,305.48"
2070,ak,"dillingham, ak",218.41
45033,sc,"dillon, sc","5,313.55"
48127,tx,"dimmit, tx",584.626
51053,va,"dinwiddie, va","1,004.34"
11001,dc,"district of columbia, dc","48,892.79"
38023,nd,"divide, nd",195.002
12029,fl,"dixie, fl",115.576
31051,ne,"dixon, ne",132.698
54017,wv,"doddridge, wv",691.352
13091,ga,"dodge, ga",621.131
27039,mn,"dodge, mn",518.822
31053,ne,"dodge, ne","1,529.97"
55027,wi,"dodge, wi","3,762.02"
8033,co,"dolores, co",9.912
35013,nm,"dona ana, nm","7,802.82"
20043,ks,"doniphan, ks",149.826
48129,tx,"donley, tx",180.515
13093,ga,"dooly, ga",394.802
55029,wi,"door, wi",832.401
24019,md,"dorchester, md",563.655
45035,sc,"dorchester, sc","19,703.45"
13095,ga,"dougherty, ga","5,855.95"
8035,co,"douglas, co","3,175.01"
13097,ga,"douglas, ga","15,052.65"
17041,il,"douglas, il",883.342
20045,ks,"douglas, ks","5,227.24"
27041,mn,"douglas, mn","1,654.85"
29067,mo,"douglas, mo",156.004
31055,ne,"douglas, ne","20,554.00"
32005,nv,"douglas, nv","5,542.57"
41019,or,"douglas, or",383.129
46043,sd,"douglas, sd",3.913
53017,wa,"douglas, wa",286.587
55031,wi,"douglas, wi","1,437.77"
5043,ar,"drew, ar",268.21
18037,in,"dubois, in","1,101.94"
19061,ia,"dubuque, ia","6,426.61"
49013,ut,"duchesne, ut",601.882
25007,ma,"dukes, ma",477.167
31057,ne,"dundy, ne",5.916
29069,mo,"dunklin, mo",121.122
38025,nd,"dunn, nd",338.35
55033,wi,"dunn, wi","3,505.13"
17043,il,"dupage, il","71,161.73"
37061,nc,"duplin, nc","1,413.85"
37063,nc,"durham, nc","5,355.74"
36027,ny,"dutchess, ny","2,479.83"
12031,fl,"duval, fl","36,145.58"
48131,tx,"duval, tx",350.267
47045,tn,"dyer, tn","3,266.03"
8037,co,"eagle, co",342.227
13099,ga,"early, ga",401.138
22033,la,"east baton rouge, la","24,876.40"
22035,la,"east carroll, la",236.593
22037,la,"east feliciana, la",665.902
48133,tx,"eastland, tx",717.33
26045,mi,"eaton, mi","10,523.19"
55035,wi,"eau claire, wi","4,577.46"
13101,ga,"echols, ga",164.452
48135,tx,"ector, tx","8,966.05"
38027,nd,"eddy, nd",32.599
35015,nm,"eddy, nm","2,504.51"
17045,il,"edgar, il",662.412
37065,nc,"edgecombe, nc",800.506
45037,sc,"edgefield, sc","4,115.58"
21061,ky,"edmonson, ky","1,249.58"
46045,sd,"edmunds, sd",156.466
17047,il,"edwards, il",210.283
20047,ks,"edwards, ks",60.05
48137,tx,"edwards, tx",85.185
13103,ga,"effingham, ga","2,476.71"
17049,il,"effingham, il","1,024.58"
6017,ca,"el dorado, ca","11,009.59"
8041,co,"el paso, co","6,320.83"
48141,tx,"el paso, tx","25,821.39"
8039,co,"elbert, co",91.305
13105,ga,"elbert, ga",637.513
20049,ks,"elk, ks",39.71
42047,pa,"elk, pa",700.415
18039,in,"elkhart, in","12,818.87"
32007,nv,"elko, nv","7,231.26"
21063,ky,"elliott, ky",220.066
20051,ks,"ellis, ks",810.525
40045,ok,"ellis, ok",83.283
48139,tx,"ellis, tx","8,397.47"
20053,ks,"ellsworth, ks",193.114
1051,al,"elmore, al",662.398
16039,id,"elmore, id","1,817.97"
13107,ga,"emanuel, ga",562.586
49015,ut,"emery, ut",110.885
19063,ia,"emmet, ia",293.033
26047,mi,"emmet, mi","1,722.20"
38029,nd,"emmons, nd",81.878
51595,va,"emporia city, va",558.888
48143,tx,"erath, tx","1,479.42"
36029,ny,"erie, ny","11,156.79"
39043,oh,"erie, oh","3,758.28"
42049,pa,"erie, pa","9,960.01"
1053,al,"escambia, al",123.394
12033,fl,"escambia, fl","31,174.52"
32009,nv,"esmeralda, nv",106.226
25009,ma,"essex, ma","33,488.25"
34013,nj,"essex, nj","18,336.83"
36031,ny,"essex, ny",617.094
51057,va,"essex, va",425.516
50009,vt,"essex, vt",163.657
21065,ky,"estill, ky",364.39
1055,al,"etowah, al","1,126.18"
32011,nv,"eureka, nv",140.466
22039,la,"evangeline, la","1,125.86"
13109,ga,"evans, ga",367.279
2090,ak,"fairbanks north star, ak","5,872.14"
51600,va,"fairfax city, va","4,945.67"
51059,va,"fairfax, va","78,985.44"
9001,ct,"fairfield, ct","6,724.42"
39045,oh,"fairfield, oh","6,979.04"
45039,sc,"fairfield, sc","3,508.23"
46047,sd,"fall river, sd",16.703
30025,mt,"fallon, mt",108.276
51610,va,"falls church city, va","2,719.03"
48145,tx,"falls, tx","2,352.66"
13111,ga,"fannin, ga",866.574
48147,tx,"fannin, tx","1,881.39"
27043,mn,"faribault, mn",458.736
46049,sd,"faulk, sd",14.408
5045,ar,"faulkner, ar","2,389.87"
51061,va,"fauquier, va","4,327.48"
1057,al,"fayette, al",70.545
13113,ga,"fayette, ga","11,589.12"
19065,ia,"fayette, ia","1,594.14"
17051,il,"fayette, il",637.414
18041,in,"fayette, in",604.076
21067,ky,"fayette, ky","20,976.27"
39047,oh,"fayette, oh","2,123.00"
42051,pa,"fayette, pa","5,557.63"
47047,tn,"fayette, tn","3,440.43"
48149,tx,"fayette, tx","1,044.59"
54019,wv,"fayette, wv","3,236.86"
47049,tn,"fentress, tn",641.953
30027,mt,"fergus, mt",232.084
53019,wa,"ferry, wa",22.707
27045,mn,"fillmore, mn",423.63
31059,ne,"fillmore, ne",75.857
20055,ks,"finney, ks",862.905
48151,tx,"fisher, tx",265.562
12035,fl,"flagler, fl","6,168.25"
30029,mt,"flathead, mt","2,894.63"
21069,ky,"fleming, ky",566.905
45041,sc,"florence, sc","14,374.29"
55037,wi,"florence, wi",204.644
13115,ga,"floyd, ga","3,456.91"
19067,ia,"floyd, ia",619.95
18043,in,"floyd, in","4,584.18"
21071,ky,"floyd, ky","1,878.95"
48153,tx,"floyd, tx",120.365
51063,va,"floyd, va",430.934
51065,va,"fluvanna, va","1,205.54"
48155,tx,"foard, tx",21.837
55039,wi,"fond du lac, wi","2,257.78"
17053,il,"ford, il",802.542
20057,ks,"ford, ks",602.871
42053,pa,"forest, pa",369.554
55041,wi,"forest, wi",249.007
28035,ms,"forrest, ms","6,222.39"
28035,va,"forrest, va",2.821
13117,ga,"forsyth, ga","11,476.69"
37067,nc,"forsyth, nc","4,225.02"
48157,tx,"fort bend, tx","39,029.99"
38031,nd,"foster, nd",61.756
18045,in,"fountain, in",578.984
51620,va,"franklin city, va",467.789
1059,al,"franklin, al",113.546
5047,ar,"franklin, ar",220.75
12037,fl,"franklin, fl",181.349
13119,ga,"franklin, ga","1,358.95"
19069,ia,"franklin, ia",402.596
16041,id,"franklin, id",442.79
17055,il,"franklin, il","2,225.94"
18047,in,"franklin, in",728.144
20059,ks,"franklin, ks",693.218
21073,ky,"franklin, ky","5,300.48"
22041,la,"franklin, la",627.312
25011,ma,"franklin, ma","3,142.16"
23007,me,"franklin, me",694.194
29071,mo,"franklin, mo",698.864
28037,ms,"franklin, ms",377.671
37069,nc,"franklin, nc","1,381.08"
31061,ne,"franklin, ne",79.179
36033,ny,"franklin, ny",846.779
39049,oh,"franklin, oh","77,823.81"
42055,pa,"franklin, pa","8,371.07"
47051,tn,"franklin, tn","1,534.85"
48159,tx,"franklin, tx",506.137
51067,va,"franklin, va","2,399.57"
50011,vt,"franklin, vt","2,485.89"
53021,wa,"franklin, wa",392.408
24021,md,"frederick, md","3,764.06"
51069,va,"frederick, va","3,319.16"
51630,va,"fredericksburg city, va","3,010.29"
27047,mn,"freeborn, mn",612.238
48161,tx,"freestone, tx","1,227.85"
8043,co,"fremont, co",210.742
19071,ia,"fremont, ia",228.319
16043,id,"fremont, id",487.313
56013,wy,"fremont, wy","1,655.69"
6019,ca,"fresno, ca","33,571.49"
48163,tx,"frio, tx",711.313
31063,ne,"frontier, ne",51.819
5049,ar,"fulton, ar",96.379
13121,ga,"fulton, ga","125,512.58"
17057,il,"fulton, il",936.832
18049,in,"fulton, in","1,287.65"
21075,ky,"fulton, ky",621.932
36035,ny,"fulton, ny",348.198
39051,oh,"fulton, oh","2,532.16"
42057,pa,"fulton, pa","1,291.41"
31065,ne,"furnas, ne",119.794
12039,fl,"gadsden, fl",766.35
31067,ne,"gage, ne",704.365
48165,tx,"gaines, tx",506.519
51640,va,"galax city, va",339.691
17059,il,"gallatin, il",241.492
21077,ky,"gallatin, ky","1,036.45"
30031,mt,"gallatin, mt","3,209.36"
39053,oh,"gallia, oh","1,631.93"
48167,tx,"galveston, tx","16,317.42"
31069,ne,"garden, ne",51.482
8045,co,"garfield, co",408.108
31071,ne,"garfield, ne",17.895
40047,ok,"garfield, ok","8,226.81"
49017,ut,"garfield, ut",52.63
53023,wa,"garfield, wa",262.415
5051,ar,"garland, ar","1,298.91"
21079,ky,"garrard, ky",753.334
24023,md,"garrett, md",525.515
40049,ok,"garvin, ok","1,281.60"
48169,tx,"garza, tx",206.397
29073,mo,"gasconade, mo",134.026
37071,nc,"gaston, nc","3,224.26"
37073,nc,"gates, nc",147.612
20061,ks,"geary, ks","5,427.16"
39055,oh,"geauga, oh","4,247.26"
16045,id,"gem, id",605.655
26049,mi,"genesee, mi","28,606.44"
36037,ny,"genesee, ny","1,975.45"
1061,al,"geneva, al",128.577
29075,mo,"gentry, mo",10.822
28039,ms,"george, ms",718.163
45043,sc,"georgetown, sc","9,170.73"
18051,in,"gibson, in","1,053.17"
47053,tn,"gibson, tn","3,175.63"
4007,az,"gila, az","2,141.94"
12041,fl,"gilchrist, fl",439.084
47055,tn,"giles, tn","2,567.52"
51071,va,"giles, va",734.43
48171,tx,"gillespie, tx","1,068.56"
41021,or,"gilliam, or",1.619
13123,ga,"gilmer, ga",722.84
54021,wv,"gilmer, wv",559.326
8047,co,"gilpin, co",74.239
30035,mt,"glacier, mt",170.918
12043,fl,"glades, fl",909.179
26051,mi,"gladwin, mi",886.307
13125,ga,"glascock, ga",101.645
48173,tx,"glasscock, tx",127.436
6021,ca,"glenn, ca",411.003
34015,nj,"gloucester, nj","4,389.49"
51073,va,"gloucester, va","1,309.31"
13127,ga,"glynn, ga","3,563.57"
26053,mi,"gogebic, mi",298.662
30037,mt,"golden valley, mt",21.902
38033,nd,"golden valley, nd",234.383
48175,tx,"goliad, tx",596.545
48177,tx,"gonzales, tx","1,683.08"
51075,va,"goochland, va","2,107.61"
27049,mn,"goodhue, mn","1,681.30"
16047,id,"gooding, id",870.731
13129,ga,"gordon, ga","1,896.59"
56015,wy,"goshen, wy",426.158
31073,ne,"gosper, ne",77.017
20063,ks,"gove, ks",29.803
13131,ga,"grady, ga",861.879
40051,ok,"grady, ok","1,556.45"
33009,nh,"grafton, nh","7,380.45"
4009,az,"graham, az",820.924
20065,ks,"graham, ks",5.513
37075,nc,"graham, nc",98.836
47057,tn,"grainger, tn","1,891.27"
38035,nd,"grand forks, nd","3,830.36"
50013,vt,"grand isle, vt",394.616
26055,mi,"grand traverse, mi","3,520.02"
8049,co,"grand, co",84.893
49019,ut,"grand, ut",367.221
30039,mt,"granite, mt",79.573
5053,ar,"grant, ar",376.591
18053,in,"grant, in","2,612.32"
20067,ks,"grant, ks",137.581
21081,ky,"grant, ky","4,438.20"
22043,la,"grant, la","1,037.47"
27051,mn,"grant, mn",128.494
38037,nd,"grant, nd",56.354
31075,ne,"grant, ne",4.051
35017,nm,"grant, nm",614.633
40053,ok,"grant, ok",476.975
41023,or,"grant, or",13.27
46051,sd,"grant, sd",20.002
53025,wa,"grant, wa",443.943
55043,wi,"grant, wi","2,357.92"
54023,wv,"grant, wv",932.26
37077,nc,"granville, nc","1,461.30"
26057,mi,"gratiot, mi","2,825.47"
21083,ky,"graves, ky","1,376.09"
20069,ks,"gray, ks",44.742
48179,tx,"gray, tx","1,086.71"
53027,wa,"grays harbor, wa",213.022
21085,ky,"grayson, ky","1,073.26"
48181,tx,"grayson, tx","7,809.76"
51077,va,"grayson, va",247.169
20071,ks,"greeley, ks",37.567
31077,ne,"greeley, ne",24.895
55047,wi,"green lake, wi",621.503
21087,ky,"green, ky",228.025
55045,wi,"green, wi","1,520.42"
54025,wv,"greenbrier, wv","4,681.99"
1063,al,"greene, al",38.4
5055,ar,"greene, ar",749.704
13133,ga,"greene, ga",992.955
19073,ia,"greene, ia",308.765
17061,il,"greene, il",662.444
18055,in,"greene, in","1,054.58"
29077,mo,"greene, mo","2,199.30"
28041,ms,"greene, ms",548.584
37079,nc,"greene, nc",598.517
36039,ny,"greene, ny",317.863
39057,oh,"greene, oh","12,721.94"
42059,pa,"greene, pa","2,226.30"
47059,tn,"greene, tn","3,957.63"
51079,va,"greene, va",742.875
4011,az,"greenlee, az",298.558
51081,va,"greensville, va",428.413
21089,ky,"greenup, ky","1,914.18"
45045,sc,"greenville, sc","44,383.41"
20073,ks,"greenwood, ks",191.805
45047,sc,"greenwood, sc","17,081.23"
40055,ok,"greer, ok",202.748
48183,tx,"gregg, tx","6,499.66"
46053,sd,"gregory, sd",1.722
28043,ms,"grenada, ms",803.823
38039,nd,"griggs, nd",52.905
48185,tx,"grimes, tx","3,567.52"
19075,ia,"grundy, ia",369.015
17063,il,"grundy, il","2,964.88"
29079,mo,"grundy, mo",28.589
47061,tn,"grundy, tn",702.909
35019,nm,"guadalupe, nm",75.033
48187,tx,"guadalupe, tx","9,177.50"
39059,oh,"guernsey, oh","1,300.39"
37081,nc,"guilford, nc","6,149.61"
12045,fl,"gulf, fl",340.942
8051,co,"gunnison, co",162.977
19077,ia,"guthrie, ia",445.15
13135,ga,"gwinnett, ga","61,751.39"
46055,sd,"haakon, sd",101.177
13137,ga,"habersham, ga","2,930.86"
2100,ak,"haines, ak",50.386
1065,al,"hale, al",87.387
48189,tx,"hale, tx","2,125.34"
37083,nc,"halifax, nc",831.008
51083,va,"halifax, va","2,939.29"
13139,ga,"hall, ga","10,140.93"
31079,ne,"hall, ne","1,825.00"
48191,tx,"hall, tx",159.258
47063,tn,"hamblen, tn","3,894.75"
12047,fl,"hamilton, fl",186.973
19079,ia,"hamilton, ia",865.174
17065,il,"hamilton, il",472.489
18057,in,"hamilton, in","21,355.29"
20075,ks,"hamilton, ks",45.241
31081,ne,"hamilton, ne",199.926
39061,oh,"hamilton, oh","49,101.46"
47065,tn,"hamilton, tn","24,512.24"
48193,tx,"hamilton, tx",653.824
46057,sd,"hamlin, sd",50.712
25013,ma,"hampden, ma","23,045.03"
25015,ma,"hampshire, ma","6,460.51"
54027,wv,"hampshire, wv","1,158.64"
51650,va,"hampton city, va","11,031.81"
45049,sc,"hampton, sc","2,344.71"
13141,ga,"hancock, ga",582.5
19081,ia,"hancock, ia",405.453
17067,il,"hancock, il",574.361
18059,in,"hancock, in","9,293.29"
21091,ky,"hancock, ky",452.668
23009,me,"hancock, me",813.883
28045,ms,"hancock, ms","2,422.67"
39063,oh,"hancock, oh","2,741.03"
47067,tn,"hancock, tn",521.646
54029,wv,"hancock, wv","2,149.54"
46059,sd,"hand, sd",3.91
51085,va,"hanover, va","4,458.68"
48195,tx,"hansford, tx",158.285
46061,sd,"hanson, sd",21.147
13143,ga,"haralson, ga","1,033.36"
12049,fl,"hardee, fl",652.397
47069,tn,"hardeman, tn","1,683.89"
48197,tx,"hardeman, tx",159.519
19083,ia,"hardin, ia",756.023
17069,il,"hardin, il",101.93
21093,ky,"hardin, ky","9,214.68"
39065,oh,"hardin, oh","1,689.06"
47071,tn,"hardin, tn","1,141.98"
48199,tx,"hardin, tx","1,795.61"
35021,nm,"harding, nm",4.976
46063,sd,"harding, sd",20.742
54031,wv,"hardy, wv","1,060.75"
24025,md,"harford, md","3,638.61"
21095,ky,"harlan, ky",785.772
31083,ne,"harlan, ne",25.514
40057,ok,"harmon, ok",122.271
37085,nc,"harnett, nc","3,244.92"
41025,or,"harney, or",19.854
20077,ks,"harper, ks",265.432
40059,ok,"harper, ok",143.5
13145,ga,"harris, ga","1,341.37"
48201,tx,"harris, tx","180,476.51"
19085,ia,"harrison, ia",554.717
18061,in,"harrison, in","1,396.17"
21097,ky,"harrison, ky","2,261.20"
29081,mo,"harrison, mo",11.775
28047,ms,"harrison, ms","10,866.24"
39067,oh,"harrison, oh","1,917.56"
48203,tx,"harrison, tx","3,192.91"
54033,wv,"harrison, wv","7,332.70"
51660,va,"harrisonburg city, va","3,640.50"
13147,ga,"hart, ga",738.575
21099,ky,"hart, ky","1,576.79"
9003,ct,"hartford, ct","6,011.70"
48205,tx,"hartley, tx",51.955
20079,ks,"harvey, ks","1,183.49"
20081,ks,"haskell, ks",34.562
40061,ok,"haskell, ok",313.888
48207,tx,"haskell, tx",284.706
15001,hi,"hawaii, hi","4,966.30"
47073,tn,"hawkins, tn","7,686.41"
31085,ne,"hayes, ne",12.544
48209,tx,"hays, tx","17,001.85"
37087,nc,"haywood, nc",963.585
47075,tn,"haywood, tn","1,305.05"
13149,ga,"heard, ga",657.649
48211,tx,"hemphill, tx",226.119
5057,ar,"hempstead, ar",357.818
17071,il,"henderson, il",174.534
21101,ky,"henderson, ky","2,910.90"
37089,nc,"henderson, nc","1,721.30"
47077,tn,"henderson, tn","1,475.57"
48213,tx,"henderson, tx","2,703.99"
18063,in,"hendricks, in","11,826.24"
12051,fl,"hendry, fl","1,170.77"
27053,mn,"hennepin, mn","79,800.02"
51087,va,"henrico, va","25,826.64"
1067,al,"henry, al",150.448
13151,ga,"henry, ga","20,174.44"
19087,ia,"henry, ia",606.361
17073,il,"henry, il","1,298.15"
18065,in,"henry, in","2,465.95"
21103,ky,"henry, ky",991.552
29083,mo,"henry, mo",247.543
39069,oh,"henry, oh","1,683.11"
47079,tn,"henry, tn","1,827.35"
51089,va,"henry, va","6,299.03"
36043,ny,"herkimer, ny",535.356
12053,fl,"hernando, fl","3,959.43"
37091,nc,"hertford, nc",645.926
38041,nd,"hettinger, nd",60.115
21105,ky,"hickman, ky",266.855
47081,tn,"hickman, tn","3,234.42"
29085,mo,"hickory, mo",49.035
35023,nm,"hidalgo, nm",112.235
48215,tx,"hidalgo, tx","15,293.55"
39071,oh,"highland, oh","2,089.24"
51091,va,"highland, va",85.87
12055,fl,"highlands, fl","3,716.58"
30041,mt,"hill, mt",177.817
48217,tx,"hill, tx","2,593.95"
12057,fl,"hillsborough, fl","56,245.40"
33011,nh,"hillsborough, nh","36,569.81"
26059,mi,"hillsdale, mi","1,750.76"
28049,ms,"hinds, ms","16,803.54"
8053,co,"hinsdale, co",0.45
31087,ne,"hitchcock, ne",41.29
39073,oh,"hocking, oh","1,150.81"
48219,tx,"hockley, tx","1,152.33"
20083,ks,"hodgeman, ks",10.558
37093,nc,"hoke, nc","2,126.53"
12059,fl,"holmes, fl",397.375
28051,ms,"holmes, ms",760.326
39075,oh,"holmes, oh",981.631
29087,mo,"holt, mo",29.12
31089,ne,"holt, ne",155.941
15003,hi,"honolulu, hi","36,833.43"
41027,or,"hood river, or",217.214
48221,tx,"hood, tx","3,192.18"
31091,ne,"hooker, ne",3.192
2105,ak,"hoonah angoon, ak",79.797
51670,va,"hopewell city, va","3,778.43"
21107,ky,"hopkins, ky","1,477.33"
48223,tx,"hopkins, tx","1,127.77"
45051,sc,"horry, sc","39,687.49"
5059,ar,"hot spring, ar",696.344
56017,wy,"hot springs, wy",128.224
26061,mi,"houghton, mi","2,737.28"
1069,al,"houston, al","1,058.21"
13153,ga,"houston, ga","6,218.94"
27055,mn,"houston, mn",449.7
47083,tn,"houston, tn","1,112.91"
48225,tx,"houston, tx","5,698.71"
5061,ar,"howard, ar",245.923
19089,ia,"howard, ia",198.696
18067,in,"howard, in","3,743.11"
24027,md,"howard, md","5,819.45"
29089,mo,"howard, mo",262.106
31093,ne,"howard, ne",123.641
48227,tx,"howard, tx","1,806.82"
29091,mo,"howell, mo",344.921
27057,mn,"hubbard, mn",263.55
34017,nj,"hudson, nj","15,262.52"
48229,tx,"hudspeth, tx",934.478
8055,co,"huerfano, co",40.385
40063,ok,"hughes, ok",482.067
46065,sd,"hughes, sd",83.887
6023,ca,"humboldt, ca","6,900.59"
19091,ia,"humboldt, ia",376.166
32013,nv,"humboldt, nv","1,104.19"
28053,ms,"humphreys, ms",300.241
47085,tn,"humphreys, tn",867.238
48231,tx,"hunt, tx","5,465.88"
34019,nj,"hunterdon, nj","2,275.74"
42061,pa,"huntingdon, pa",980.28
18069,in,"huntington, in","2,382.84"
26063,mi,"huron, mi","1,132.78"
39077,oh,"huron, oh","3,025.44"
46067,sd,"hutchinson, sd",15.968
48233,tx,"hutchinson, tx",784.495
37095,nc,"hyde, nc",67.555
22045,la,"iberia, la","3,153.21"
22047,la,"iberville, la","1,649.55"
19093,ia,"ida, ia",152.037
16049,id,"idaho, id",284.55
6025,ca,"imperial, ca","11,330.36"
5063,ar,"independence, ar",354.112
12061,fl,"indian river, fl","3,336.30"
42063,pa,"indiana, pa","3,739.35"
26065,mi,"ingham, mi","24,476.33"
6027,ca,"inyo, ca","2,169.22"
26067,mi,"ionia, mi","6,046.72"
26069,mi,"iosco, mi","1,554.94"
19095,ia,"iowa, ia",818.066
55049,wi,"iowa, wi","1,542.20"
37097,nc,"iredell, nc","3,004.73"
48235,tx,"irion, tx",155.006
26071,mi,"iron, mi",232.169
29093,mo,"iron, mo",142.573
49021,ut,"iron, ut","1,678.88"
55051,wi,"iron, wi",242.022
17075,il,"iroquois, il",762.474
13155,ga,"irwin, ga",299.105
26073,mi,"isabella, mi","3,474.87"
27059,mn,"isanti, mn","1,442.68"
53029,wa,"island, wa","1,327.28"
51093,va,"isle of wight, va","1,555.13"
28055,ms,"issaquena, ms",120.484
27061,mn,"itasca, mn",848.872
28057,ms,"itawamba, ms","1,088.99"
5065,ar,"izard, ar",151.652
48237,tx,"jack, tx",358.85
1071,al,"jackson, al",297.861
5067,ar,"jackson, ar",249.729
8057,co,"jackson, co",0.97
12063,fl,"jackson, fl",586.815
13157,ga,"jackson, ga","5,223.01"
19097,ia,"jackson, ia",822.423
17077,il,"jackson, il","4,734.14"
18071,in,"jackson, in","2,590.15"
20085,ks,"jackson, ks",535.322
21109,ky,"jackson, ky",489.475
22049,la,"jackson, la",693.588
26075,mi,"jackson, mi","6,635.03"
27063,mn,"jackson, mn",302.531
29095,mo,"jackson, mo","6,457.79"
28059,ms,"jackson, ms","6,527.58"
37099,nc,"jackson, nc",372.813
39079,oh,"jackson, oh","1,264.11"
40065,ok,"jackson, ok","1,324.26"
41029,or,"jackson, or","1,077.61"
46071,sd,"jackson, sd",76.073
47087,tn,"jackson, tn",706.844
48239,tx,"jackson, tx","1,247.02"
55053,wi,"jackson, wi","1,471.48"
54035,wv,"jackson, wv","2,083.96"
51095,va,"james city, va","4,731.55"
13159,ga,"jasper, ga",799.748
19099,ia,"jasper, ia","2,726.52"
17079,il,"jasper, il",218.124
18073,in,"jasper, in","1,108.02"
29097,mo,"jasper, mo",947.154
28061,ms,"jasper, ms",431.429
45053,sc,"jasper, sc","6,139.52"
48241,tx,"jasper, tx","1,095.70"
18075,in,"jay, in",497.477
13161,ga,"jeff davis, ga",262.2
48243,tx,"jeff davis, tx",38.977
22053,la,"jefferson davis, la","1,064.47"
28065,ms,"jefferson davis, ms",472.995
1073,al,"jefferson, al","8,647.73"
5069,ar,"jefferson, ar","1,936.05"
8059,co,"jefferson, co","6,305.60"
12065,fl,"jefferson, fl",121.366
13163,ga,"jefferson, ga","1,128.23"
19101,ia,"jefferson, ia",793.43
16051,id,"jefferson, id",599.216
17081,il,"jefferson, il","2,476.43"
18077,in,"jefferson, in","1,317.35"
20087,ks,"jefferson, ks",507.18
21111,ky,"jefferson, ky","49,880.00"
22051,la,"jefferson, la","33,874.41"
29099,mo,"jefferson, mo","2,210.14"
28063,ms,"jefferson, ms",824.761
30043,mt,"jefferson, mt",283.004
31095,ne,"jefferson, ne",129.987
21111,ny,"jefferson, ny",2.248
36045,ny,"jefferson, ny","12,311.06"
39081,oh,"jefferson, oh","2,359.40"
40067,ok,"jefferson, ok",205.013
41031,or,"jefferson, or",118.736
42065,pa,"jefferson, pa",974.909
47089,tn,"jefferson, tn","2,970.49"
48245,tx,"jefferson, tx","10,510.61"
53031,wa,"jefferson, wa",137.618
55055,wi,"jefferson, wi","4,046.97"
54037,wv,"jefferson, wv","4,577.00"
13165,ga,"jenkins, ga",309.208
18079,in,"jennings, in","1,668.58"
46073,sd,"jerauld, sd",0.34
16053,id,"jerome, id","1,859.92"
17083,il,"jersey, il",749.643
21113,ky,"jessamine, ky","2,218.27"
20089,ks,"jewell, ks",37.569
48247,tx,"jim hogg, tx",302.646
48249,tx,"jim wells, tx","2,127.73"
17085,il,"jo daviess, il",940.944
5071,ar,"johnson, ar",269.437
13167,ga,"johnson, ga",303.986
19103,ia,"johnson, ia","10,923.95"
17087,il,"johnson, il",417.78
18081,in,"johnson, in","10,506.98"
20091,ks,"johnson, ks","29,432.16"
21115,ky,"johnson, ky",965.143
29101,mo,"johnson, mo","1,082.41"
31097,ne,"johnson, ne",105.888
47091,tn,"johnson, tn",556.66
48251,tx,"johnson, tx","9,179.41"
56019,wy,"johnson, wy",538.775
37101,nc,"johnston, nc","2,454.08"
40069,ok,"johnston, ok",276.441
13169,ga,"jones, ga",644.948
19105,ia,"jones, ia","1,019.72"
28067,ms,"jones, ms","1,706.15"
37103,nc,"jones, nc",726.63
48253,tx,"jones, tx",647.134
41033,or,"josephine, or",350.397
49023,ut,"juab, ut",223.82
